iata,airline,country_region
BM,Air Sicilia,Italy
ZX,Air BC,Canada
G8,Air Service Gabon,Gabon
7T,Air Glaciers,Switzerland
6V,Air Vegas,United States
NH,All Nippon Airways,Japan
TZ,air-taxi Europe,Germany
2Q,Air Cargo Carriers,United States
V7,Air Senegal International,Senegal
AB,Air Berlin,Germany
4D,Air Sinai,Egypt
QN,Air Armenia,Armenia
AI,Air India Limited,India
PJ,Air Saint Pierre,France
SZ,Air Southwest,United Kingdom
8C,Air Transport International,United States
NF,Air Vanuatu,Vanuatu
ZB,Air Bourbon,Reunion
CC,Air Atlanta Icelandic,Iceland
RB,Air Srpska,Bosnia and Herzegovina
TN,Air Tahiti Nui,France
SW,Air Namibia,Namibia
AW,Africa World Airlines,Ghana
PE,Air Europe Italy,Italy
JM,Air Jamaica,Jamaica
6G,Air Wales,United Kingdom
TX,Air Caraïbes,France
IX,Air India Express,India
BT,Air Baltic,Latvia
EL,Air Nippon,Japan
YW,Air Nostrum,Spain
PX,Air Niugini,Papua New Guinea
G9,Air Arabia,United Arab Emirates
AC,Air Canada,Canada
AP,AlbaStar,Spain
XT,Air Exel,Netherlands
UM,Air Zimbabwe,Zimbabwe
S2,Air Sahara,India
TC,Air Tanzania,Tanzania
2J,Air Burkina,Burkina Faso
KM,Air Malta,Malta
YT,Air Togo,Togo
G4,Allegiant Air,United States
M3,ABSA Cargo,Brazil
O4,Antrak Air,Ghana
GB,Airborne Express,United States
GB,ABX Air,United States
8V,Astral Aviation,Kenya
4G*,Advance Leasing Company,United States
8T,Air Tindi,Canada
Z7*,ADC Airlines,Nigeria
JP,Adria Airways,Slovenia
EM*,Aero Benin,Benin
A3,Aegean Airlines,Greece
2K,Aerogal,Ecuador
KD,Air Enterprise,France
KO,Alaska Central Express,United States
VX,ACES Colombia,Colombia
KH,Aloha Air Cargo,United States
AA,American Airlines,United States
AX,AmericanConnection[5],United States
AN,Ansett Australia,Australia
5W,Astraeus,United Kingdom
VV,Aerosvit Airlines,Ukraine
WK,American Falcon,Argentina
QQ,Alliance Airlines,Australia
FG,Ariana Afghan Airlines,Afghanistan
RV*,Africaone,The Gambia
Y2,Alliance Air,Uganda
SU,Aeroflot Russian Airlines,Russia
5Z,Airfreight Express,United Kingdom
5D,Aeroméxico Connect,Mexico
1A,Amadeus IT Group,Spain
JJ,Aviogenex,Serbia
PL,Aeroperú,Peru
8A,Atlas Blue,Morocco
GD,Air Alpha Greenland,Denmark
HT,Aeromist-Kharkiv,Ukraine
J2,Azerbaijan Airlines,Azerbaijan
U3,Avies,Estonia
4Y,Airbus Industrie,France
RS,Air Seoul,South Korea
5A,Alpine Air Express,United States
ED*,Airblue,Pakistan
W4,Aero Services Executive,France
IZ,Arkia Israel Airlines,Israel
M6,Amerijet International,United States
4A,Air Kiribati,Kiribati
EV,Atlantic Southeast Airlines,United States
HP,America West Airlines,United States
VH,Aeropostal Alas de Venezuela,Venezuela
TZ,ATA Airlines,United States
AM,Aeroméxico,Mexico
TL,Airnorth,Australia
OY,Andes Líneas Aéreas,Argentina
IW,AOM French Airlines,France
J6,AVCOM,Russia
2D,Aero VIP,Argentina
VB,Aeroenlaces Nacionales,Mexico
OE,Asia Overnight Express,Philippines
GV,Aero Flight,Germany
JW,Arrow Air,United States
2B,Albawings,Albania
4C,"Aires, Aerovías de Integración Regional, S.A.",Colombia
AR,Aerolíneas Argentinas,Argentina
AS,"Alaska Airlines, Inc.",United States
PL,Airstars,Russia
OB,Astrakhan Airlines,Russia
HC,Aero-Tropics Air Services,Australia
FO,Airlines of Tasmania,Australia
OS,Austrian Airlines,Austria
IQ,Augsburg Airways,Germany
RU,AirBridge Cargo,Russia
MO,Abu Dhabi Amiri Flight,United Arab Emirates
GR,Aurigny Air Services,United Kingdom
NO,Aus-Air,Australia
AU,Austral Líneas Aéreas,Argentina
AO,Australian Airlines,Australia
AV,Avianca,Colombia
A0,Avianca Argentina,Argentina
O6,Avianca Brazil,Brazil
K8,Airlink Zambia,Zambia
4Y,Airbus Transport International,France
B9,Air Bangladesh,Bangladesh
HJ,Asian Express Airlines,Australia
AK,AirAsia,Malaysia
D7,AirAsia X,Malaysia
DJ,AirAsia Japan,Japan
I5,AirAsia India,India
6V,Axis Airways,France
EX,Atlantic Airlines,United States
3G,Atlant-Soyuz Airlines,Russia
AZ,Alitalia,Italy
ZE,Arcus-Air Logistic,Germany
A2,Astra Airlines,Greece
R7,Aserca Airlines,Venezuela
RX,Aviaexpress,Hungary
MQ,American Eagle Airlines,United States
ZS,Azzurra Air,Italy
FF,Airshop,Netherlands
ML,African Transport Trading and Investment Company,Sudan
VU,Air Ivoire,Ivory Coast
BP,Air Botswana,Botswana
GS,Air Foyle,United Kingdom
VT,Air Tahiti,French Polynesia
3N,Air Urga,Ukraine
VL,Air VIA,Bulgaria
FK,Africa West,Togo
G2,Avirex,Gabon
V8,ATRAN Cargo Airlines,Russian Federation
K6,Angkor Air,Cambodia
VE,Avensa,Venezuela
V5,Avolar Aerolíneas,Mexico
CA,Air China,China
Q6,Aero Condor Peru,Peru
5F,Arctic Circle Air Service,United States
QC,Air Corridor,Mozambique
NV,Air Central,Japan
CV,Air Chathams,New Zealand
CW,Air Marshall Islands,Marshall Islands
ZA,AccessAir,United States
AH,Air Algérie,Algeria
KI,Adam Air,Indonesia
ER,Astar Air Cargo,United States
HO,Antinea Airlines,Algeria
EN,Air Dolomiti,Italy
NM,Air Madrid,Spain
EE,Aero Airlines,Estonia
4F,Air City,Germany
E8,Alpi Eagles,Italy
KY,Air São Tomé and Príncipe,São Tomé and Príncipe
PC,Air Fiji,Fiji
OF,Air Finland,Finland
FJ,Fiji Airways,Fiji
RC,Atlantic Airways,Faroe Islands
QH,Aero Leasing,United States
NY,Air Iceland,Iceland
2P,Air Philippines,Philippines
ZX,Air Georgian,Canada
2U,Air Guinee Express,Guinea
0A,Amber Air,Lithuania
DA,Air Georgia,Georgia
GL,Air Greenland,Denmark
LL,Allegro,Mexico
5Y,Atlas Air,United States
GG,Air Guyane,French Guiana
H9,Air d'Ayiti,Haiti
GG,Air Comores International,Comoros
HD,Air Holland,Netherlands
8C,Air Horizon,Togo
W9,Air Bagan,Myanmar
IP,Atyrau Air Ways,Kazakhstan
QK,Air Canada Jazz,Canada
KK,Atlasjet,Turkey
JS,Air Koryo,Democratic People's Republic of Korea
KC,Air Astana,Kazakhstan
LV,Albanian Airlines,Albania
3S,Aerologic,Germany
D4,Alidaunia,Italy
9I,Air India Regional,India
XL,Aerolane,Ecuador
FL,Air Leap,Sweden
A6,Air Alps Aviation,Austria
TD,Atlantis European Airways,Armenia
L8,Air Luxor GB,Guinea-Bissau
LK,Air Luxor,Portugal
MK,Air Mauritius,Mauritius
MD,Air Madagascar,Madagascar
9U,Air Moldova,Moldova
L9,Air Mali,Mali
A7,Air Plus Comet,Spain
QO,Aeromexpress,Mexico
MR,Air Mauritanie,Mauritania
3S*,Aeroland Airways,Greece
2V*,Amtrak,United States
8D*,Astair,Russian Federation
F4,Albarka Air,Nigeria
AJ,Aero Contractors,Nigeria
8Y,Air Burundi,Burundi
OT,Aeropelican Air Services,Australia
AD,Air Paradise International,Indonesia
QD,Air Class Líneas Aéreas,Uruguay
QS,African Safari Airways,Kenya
4Y,Airbus France,France
AG,Aruba Airlines,Aruba
MC,Air Mobility Command,United States
RE,Aer Arann,Ireland
UU,Air Austral,France
ZP,Amaszonas Paraguay,Paraguay
6K,Asian Spirit,Philippines
A5,Airlinair,France
QL,Aero Lanka,Sri Lanka
R3,Armenian Airlines,Armenia
MV,Air Mediterranean,Greece
2O,Air Salone,Sierra Leone
U8,Armavia,Armenia
BQ,Aeromar Lineas Aereas Dominicanas,Dominican Republic
P5,AeroRepública,Colombia
BF,Aero-Service,Republic of the Congo
5L,AeroSur,Bolivia
EX,Air Santo Domingo,Dominican Republic
JR,Aero California,Mexico
Z3,Avient Aviation,Zimbabwe
M3,Air Service,Macedonia
GM,Air Slovakia,Slovakia
R3,Aircompany Yakutia,Russia
HC,Air Senegal,Senegal
VW,Aeromar,Mexico
JY,Air Turks and Caicos,Turks and Caicos Islands
CG,Airlines PNG,Papua New Guinea
TY,Air Calédonie,France
FL,AirTran Airways,United States
TS,Air Transat,Canada
EC,Avialeasing Aviation Company,Uzbekistan
DW,Aero-Charter Ukraine,Ukraine
U7,Air Uganda,Uganda
6U,Air Ukraine,Ukraine
6R,Alrosa Air Company,Russia
AD,Azul Linhas Aéreas Brasileiras,Brazil
6A,Aviacsa,Mexico
JZ,Avia Express,Sweden
WD*,Amsterdam Airlines,Netherlands
AQ,Aloha Airlines,United States
3J,Air Alliance,Canada
OB,Austrian Airtransport,Austria
SM,Aberdeen Airways,United Kingdom
KJ,Asian Air,Kyrgyzstan
BX,Air Busan,Republic of Korea
AK,Air Bridge Carriers,United Kingdom
YE,Aryan Cargo Express,India
VJ,Africa Airways,Benin
QH,Air Florida,United States
3O,Air Arabia Maroc,Morocco
HD,AIRDO,Japan
X9,Avion Express,Lithuania
UJ,Al Masria Universal Airlines,Egypt
BO,BB Airways,Nepal
JD,Beijing Capital Airlines,China
ID,Batik Air,Indonesia
8Q*,Baker Aviation,United States
L9,Belle Air Europe,Italy
BA,British Airways,United Kingdom
BG,Biman Bangladesh Airlines,Bangladesh
BO,Bluebird Nordic,Iceland
B4,BACH Flugbetriebsges,Austria
WX,CityJet,Ireland
BZ,Blue Dart Aviation,India
JA,B&H Airlines,Bosnia and Herzegovina
J4,Buffalo Airways,Canada
8H,BH Air,Bulgaria
A8,Benin Golf Air,Benin
U4,Buddha Air,Nepal
4T,Belair Airlines,Switzerland
UP,Bahamasair,Bahamas
E6,Bringer Air Cargo Taxi Aéreo,Brazil
LZ,Balkan Bulgarian Airlines,Bulgaria
TH,BA Connect,United Kingdom
BS,British International Helicopters,United Kingdom
B4,Bankair,United States
PG,Bangkok Airways,Thailand
KF,Blue1,Finland
JV,Bearskin Lake Air Service,Canada
B3,Bellview Airlines,Nigeria
BD,BMI,United Kingdom
BM,BMI Regional,United Kingdom
WW,Bmibaby,United Kingdom
CH,Bemidji Airlines,United States
5Z,Bismillah Airlines,Bangladesh
BO,Bouraq Indonesia Airlines,Indonesia
BV,Blue Panorama Airlines,Italy
7R,BRA-Transportes Aéreos,Brazil
8E,Bering Air,United States
B2,Belavia Belarusian Airlines,Belarus
BN,Braniff International Airways,United States
GQ,Big Sky Airlines,United States
V9,BAL Bashkirian Airlines,Russia
BQ,Baltia Air Lines,United States
Y6,Batavia Air,Indonesia
L9,Bristow U.S. LLC,United States
1T,Bulgarian Air Charter,Bulgaria
BU,Buryat Airlines Aircompany,Russia
J8,Berjaya Air,Malaysia
QW,Blue Wings,Germany
SN,Brussels International Airlines,Belgium
8W?,BAX Global,
DB,Brit Air,France
E9,Boston-Maine Airways,United States
SN,Brussels Airlines,Belgium
NT,Binter Canarias,Spain
0B,Blue Air,Romania
KJ,British Mediterranean Airways,United Kingdom
FB,Bulgaria Air,Bulgaria
8N,Barents AirLink,Sweden
CJ,BA CityFlyer,United Kingdom
OB,Boliviana de Aviación,Bolivia
YB,Borajet,Turkey
BW,Caribbean Airlines,Trinidad and Tobago
7N,Pawa Dominicana,Dominican Republic
KR,Cambodia Airways,Cambodia
5C,CAL Cargo Air Lines,Israel
AW,CHC Airways,Netherlands
3C,Calima Aviación,Spain
MO,Calm Air,Canada
R9,Camai Air,United States
K6,Cambodia Angkor Air,Cambodia
UY,Cameroon Airlines,Cameroon
C6,CanJet,Canada
CP,Canadian Airlines,Canada
5T,Canadian North,Canada
CP,Canadian Pacific Airlines,Canada
W2,Canadian Western Airlines,Canada
9K,Cape Air,United States
PT,Capital Cargo International Airlines,United States
GG,Cargo 360,United States
2G,Cargoitalia,Italy
W8,Cargojet Airways,Canada
CV,Cargolux,Luxembourg
C8,Cargolux Italia,Italy
BW,Caribbean Airlines,Trinidad and Tobago
8B,Caribbean Star Airlines,Antigua and Barbuda
V3,Carpatair,Romania
RV,Caspian Airlines,Iran
KA,Cathay Dragon,Hong Kong
CX,Cathay Pacific,Hong Kong
KX,Cayman Airways,Cayman Islands
5J,Cebu Pacific,Philippines
9M,Central Mountain Air,Canada
J7,Centre-Avia,Russia
WE,Centurion Air Cargo,United States
OP,Chalk's International Airlines,United States
MG,Champion Air,United States
2Z,Chang An Airlines,China
S8,Chari Aviation Services,Chad
RP*,Chautauqua Airlines,United States
C8,Chicago Jet Group,United States
CI,China Airlines,Taiwan
CK,China Cargo Airlines,China
MU,China Eastern Airlines,China
G5,China Express Airlines,China
CJ,China Northern Airlines,China
WH,China Northwest Airlines,China
8Y,China Postal Airlines,China
CZ,China Southern Airlines,China
KN,China United Airlines,China
XO,China Xinhua Airlines,China
3Q,China Yunnan Airlines,China
X7,Chitaavia,Russia
OQ,Chongqing Airlines,China
A2,Cielos Airlines,Peru
QI,Cimber Sterling,Denmark
C7,Cinnamon Air,Sri Lanka
C9,Cirrus Airlines,Germany
G3,City Connexion Airlines,Burundi
WX,CityJet,Ireland
CJ,CityFlyer Express,United Kingdom
CT,Civil Air Transport,Taiwan
6P,Club Air,Italy
BX,Coast Air,Norway
DQ,Coastal Air,United States
9L,Colgan Air,United States
YD,Cologne Air Transport GmbH,Germany
OH,Comair,United States
MN,Comair,South Africa
C5,CommutAir,United States
KR,Comores Airlines,Comoros
GJ,Compania Mexicargo,Mexico
CP,Compass Airlines,United States
DE,Condor Flugdienst,Germany
CO,Continental Airlines,United States
CO,Continental Express,United States
CS,Continental Micronesia,United States
V0,Conviasa,Venezuela
CM,Copa Airlines,Panama
CQ,Central Charter,Czech Republic
XC,Corendon Airlines,Turkey
CD,Corendon Dutch Airlines,Netherlands
LF,Contour Airlines,United States
SS,Corsairfly,France
XK,Corse Méditerranée,France
F5,Cosmic Air,Nepal
7C,Coyne Aviation,United Kingdom
OU,Croatia Airlines,Croatia
QE,Crossair Europe,Switzerland
CU,Cubana de Aviación,Cuba
CY,Cyprus Airways,Cyprus
YK,Cyprus Turkish Airlines,Turkey
OK,Czech Airlines,Czech Republic
8L,Cargo Plus Aviation,United Arab Emirates
GJ,CDI Cargo Airlines,China
5Z,CemAir,South Africa
XG,Clickair,Spain
PN,West Air (China),China
V5,DanubeWings,Slovakia
WD,DAS Air Cargo,Uganda
DX,DAT Danish Air Transport,Denmark
D0,DHL Air Limited,United Kingdom
ES,DHL International,Bahrain
L3,DHL de Guatemala,Guatemala
D3,Daallo Airlines,Djibouti
N2,Dagestan Airlines,Russia
H8,Dalavia,Russia
DD,Danish Air Lines,Denmark
0D,Darwin Airline,Switzerland
D5,Dauair,Germany
DL,Delta Air Lines,United States
J7,Denim Air,Netherlands
2A,Deutsche Bahn,Germany
1I,Deutsche Rettungsflugwacht,Germany
AW,Dirgantara Air Service,Indonesia
DH,Discovery Airways,United States
Z6,Dniproavia,Ukraine
YU,Dominair,Dominican Republic
DO,Dominicana de Aviación,Dominican Republic
E3,Domodedovo Airlines,Russia
D9,Donavia,Russia
5D,DonbassAero,Ukraine
KB,Druk Air,Bhutan
DI,Dba,Germany
MQ,Envoy Air,United States
EL,Ellinair,Greece
9E,Endeavor Air,United States
9A,Eagle Express Air Charter,Malaysia
E1,Everbread,United Kingdom
1C,Electronic Data Systems,Switzerland
1Y,Electronic Data Systems,United States
VE,EUjet,Ireland
BR,EVA Air,Taiwan
EY,Eagle Air,Tanzania
H7,Eagle Air,Uganda
NZ,Eagle Airways,New Zealand
QU,UTair-Ukraine,Ukraine
S9,East African Safari Air,Kenya
ZE,Eastar Jet,South Korea
EA,Eastern Air Lines,United States
T3,Eastern Airways,United Kingdom
QF,Eastern Australia Airlines,Australia
DK,Eastland Air,Australia
W9,Eastwind Airlines,United States
WK,Edelweiss Air,Switzerland
MS,Egyptair,Egypt
LY,El Al Israel Airlines,Israel
UZ,El-Buraq Air Transport,Libya
EK,Emirates Airlines,United Arab Emirates
EM,Empire Airlines,United States
EU,Empresa Ecuatoriana De Aviación,Ecuador
G8,Enkor JSC,Russia
OF,Enter Air,Poland
E0,Eos Airlines,United States
B8,Eritrean Airlines,Eritrea
E7,Estafeta Carga Aérea,Mexico
OV,Estonian Air,Estonia
ET,Ethiopian Airlines,Ethiopia
EY,Etihad Airways,United Arab Emirates
RZ,Euro Exec Express,Sweden
MM,EuroAtlantic Airways,Portugal
UI,Eurocypria Airlines,Cyprus
GJ,Eurofly,Italy
K2,Eurolot,Poland
3W,Euromanx Airways,Austria
5O,Europe Airpost,France
EA,European Air Express,Germany
QY,European Air Transport,Belgium
E7,European Aviation Air Charter,United Kingdom
EW,Eurowings,Germany
E2,Eurowings Europe,Austria
EZ,Evergreen International Airlines,United States
ZD,Ewa Air,France
JN,Excel Airways,United Kingdom
MB,Execair Aviation,Canada
OW,Executive Airlines,United States
EO,Express One International,United States
EV,ExpressJet,United States
U2,easyJet UK,United Kingdom
DS,easyJet Switzerland,Switzerland
EC,easyJet Europe,Austria
IH,Falcon Aviation,Sweden
FE,Far Eastern Air Transport,Taiwan
FD,Royal Flying Doctor Service,Australia
F6,FaroeJet,Faroe Islands
F3,Faso Airways,Burkina Faso
FX,FedEx Express,United States
N8,Fika Salaama Airlines,Uganda
4S,Finalair Congo,Republic of the Congo
AY,Finnair,Finland
FC,Finncomm Airlines,Finland
FY,Firefly,Malaysia
7F,First Air,Canada
DP,First Choice Airways,United Kingdom
8F,Fischer Air,Czech Republic
8D,FitsAir,Sri Lanka
B5,Flightline,United Kingdom
PA,Florida Coastal Airlines,United States
RF,Florida West International Airways,United States
8W,Fly All Ways,Suriname
F2,Fly Air,Turkey
OJ,Fly Jamaica Airways,Jamaica
SH,Fly Me Sweden,Sweden
D7,FlyAsianXpress,Malaysia
FO,Flybondi,Argentina
TE,FlyLal,Lithuania
LF,FlyNordic,Sweden
F7,Flybaboo,Switzerland
BE,Flybe,United Kingdom
Y2,Flyglobespan,United Kingdom
W3,Flyhy Cargo Airlines,Thailand
FP,FlyPelican,Australia
VY,Formosa Airlines,Taiwan
BN,Forward Air International Airlines,United States
5F,Fly One,Moldova
HK,Four Star Aviation / Four Star Cargo,United States
FH,Freebird Airlines,Turkey
SJ,Freedom Air,New Zealand
FP,Freedom Air,United States
F9,Frontier Airlines,United States
2F,Frontier Flying Service,United States
FH,Futura International Airways,Spain
FZ,Flydubai,UAE
9Y,Fly Georgia,Georgia
VK,FlyViking,Norway
FT,FlyEgypt,Egypt
GL,Air Greenland,GreenlandDenmark
GX,Guangxi Beibu Gulf Airlines,China
Y5,Golden Myanmar Airlines,Myanmar
GT,GB Airways,United Kingdom
Z5,GMG Airlines,Bangladesh
7O,Galaxy Air,Kyrgyzstan
1G,Galileo International,United States
GC,Gambia International Airlines,Gambia
G7,Gandalf Airlines,Italy
GA,Garuda Indonesia,Indonesia
4G,Gazpromavia,Russia
GR,Gemini Air Cargo,United States
A9,Georgian Airways,Georgia
QB,Georgian National Airlines,Georgia
HE,German Airways,Germany
ST,Germania,Germany
4U,Germanwings,Germany
GP,APG Airlines,France
GH,Globus Airlines,Russia
GH,Ghana Airways,Ghana
G0,Ghana International Airlines,Ghana
G8,GoAir,India
GK,Go One Airways,United Kingdom
G7,GoJet Airlines,United States
G3,Gol Transportes Aéreos,Brazil
DC,Golden Air,Sweden
5Z,Gonini Air Services,Suriname
G1,Gorkha Airlines,Nepal
GV,Grant Aviation,United States
ZK,Great Lakes Airlines,United States
IJ,Great Wall Airlines,China
G6,Guine Bissaur Airlines,Guinea-Bissau
J9,Guinee Airlines,Guinea
G8,Gujarat Airways,India
GF,Gulf Air,Bahrain
GY,Guyana Airways 2000,
3S,Air Guyane Express,French Guyana
GW,Costa Rica Green Airways,Costa Rica
MR,Hunnu Air,Mongolia
A5,Hop!,France
H6,Hageland Aviation Services,United States
HR,Hahn Air,Germany
H1,Hahn Air Systems,Germany
HU,Hainan Airlines,China
1R,Hainan Phoenix Information Systems,China
2T,Haiti Ambassador Airlines,Haiti
4R,Hamburg International,Germany
X3,Hapag-Lloyd Express (TUIfly),Germany
HF,Hapagfly,Germany
HB,Harbor Airlines,United States
HQ,Harmony Airways,Canada
HA,Hawaiian Airlines,United States
HP,Hawaiian Pacific Airlines,United States
BH,Hawkair,Canada
HN,Heavylift Cargo Airlines,Australia
JB,Helijet,Canada
ZU,Helios Airways,Cyprus
9I,Helitrans,Norway
HJ,Hellas Jet,Greece
HW,Hello,Switzerland
2L,Helvetic Airways,Switzerland
EO,Hewa Bora Airways,Democratic Republic of the Congo
UD,Hex'Air,France
5K,Hi Fly,Portugal
H9,Himalaya Airlines,Nepal
H5,Hola Airlines,Spain
HC,Holidays Czech Airlines,Czech Republic
HX,Hong Kong Airlines,Hong Kong
RH,Hong Kong Air Cargo,Hong Kong
UO,Hong Kong Express Airways,Hong Kong
A6,Hongtu Airlines,China
HH,Hope Air,Canada
QX,Horizon Air,United States
BN,Horizon Airlines,Australia
H4,Héli Sécurité Helicopter Airlines,France
I4,Island Air Express,United States
IK,Ikar,Russian Federation
II,IBC Airways,United States
0C,IBL Aviation,Mauritius
C3,Independent Carrier (ICAR),Ukraine
1F,INFINI Travel Information,Japan
1U,ITA Software,United States
IB,Iberia Airlines,Spain
I2,Iberia Express,Spain
TY,Iberworld,Spain
FW,Ibex Airlines,Japan
D8,Norwegian Air International (Norway),Norway
FI,Icelandair,Iceland
V8,Iliamna Air Taxi,United States
DH,Independence Air,United States
6E,IndiGo Airlines,India
IC,Indian Airlines,India
I9,Indigo Airlines,United States
QZ,Indonesia AirAsia,Indonesia
IO,Indonesian Airlines,Indonesia
C4,Zimex Aviation,Switzerland
H4,Inter Island Airways,Cape Verde
D6,Interair South Africa,South Africa
ZA,Interavia Airlines,Russia
RS,Intercontinental de Aviación,Colombia
4O,Interjet,Mexico
ID,Interlink Airlines,South Africa
6I,International Business Air,Sweden
3L,Intersky,Austria
I4,Interstate Airlines,Netherlands
IR,Iran Air,Iran
EP,Iran Aseman Airlines,Iran
IA,Iraqi Airways,Iraq
IH,Irtysh Air,Kazakhstan
2S,Island Express,United States
CN,Islands Nationair,Papua New Guinea
IF,Islas Airways,Spain
WC,Islena De Inversiones,Honduras
6H,Israir,Israel
FS,Itali Airlines,Italy
GI,Itek Air,Kyrgyzstan
H9,Izair,Turkey
HC,Iceland Express,Iceland
XM,J-Air,Japan
JC,JAL Express,Japan
JO,JALways,Japan
MT,JMC Airlines,United Kingdom
1M,JSC Transport Automated Information Systems,Russia
JI,Jade Cargo International,China
3X,Japan Air Commuter,Japan
JL,Japan Airlines,Japan
JL,Japan Airlines Domestic,Japan
EG,Japan Asia Airways,Japan
NU,Japan Transocean Air,Japan
JA,JetSMART,Chile
VJ,Jatayu Airlines,Indonesia
J9,Jazeera Airways,Kuwait
7C,Jeju Air,Republic of Korea
O2,OLT Express,Poland
9W,Jet Airways,India
QJ,Jet Airways,United States
PP,Jet Aviation,Switzerland
3K,Jetstar Asia Airways,Singapore
LS,Jet2.com,United Kingdom
B6,JetBlue Airways,United States
JF,Jet Asia Airways,Thailand
0J,Jetclub,Switzerland
SG,JetsGo,Canada
JQ,Jetstar Airways,Australia
GK,Jetstar Japan,Japan
JM,Jetstar Hong Kong Airways,China
JX,Jett8 Airlines Cargo,Singapore
JO,Jettime,Denmark
GX,JetX Airlines,Iceland
R5,Jordan Aviation,Jordan
J4,Jordan International Air Cargo,Jordan
6J,Jubba Airways,Somalia
HO,Juneyao Airlines,China
3Q,KC International Airlines,Cambodia
KW,Kharkiv Airlines,Ukraine
KD,Kalstar Aviation,Indonesia
KD,KD Avia,Russia
WA,KLM Cityhopper,Netherlands
KL,KLM,Netherlands
N2,Kabo Air,Nigeria
K4,Kalitta Air,United States
K9,Kalitta Charters,United States
CB*,Kalitta Charters II,United States
RQ,Kam Air,Afghanistan
E2,Kampuchea Airlines,Cambodia
V2,Karat,Russia
KV,Kavminvodyavia,Russia
KC,Air Astana,Kazakhstan
M5,Kenmore Air,United States
KQ,Kenya Airways,Kenya
BZ,Keystone Air Service,Canada
K6,Khalifa Airways,Algeria
IT,Kingfisher Airlines,India
Y9,Kish Air,Iran
KP,Kiwi International Air Lines,United States
7K,Kogalymavia Air Company,Russia
8J,Komiinteravia,Russia
KE,Korean Air,South Korea
7B,Krasnojarsky Airlines,Russia
K9,Krylo Airlines,Russia
GW,Kuban Airlines,Russia
VD,Kunpeng Airlines,China
KU,Kuwait Airways,Kuwait
GO,Kuzu Airlines Cargo,Turkey
N5,Kyrgyz Airlines,Kyrgyzstan
QH,Kyrgyzstan,Kyrgyzstan
R8,Kyrgyzstan Airlines,Kyrgyzstan
FK,Keewatin Air,Canada
YQ,TAR Aerolineas,Mexico
JF,L.A.B. Flying Service,United States
LR,LACSA,Costa Rica
KG,LAI - Línea Aérea IAACA,Venezuela
LA,LATAM Chile,Chile
4M,LATAM Argentina,Argentina
UC,LATAM Cargo Chile,Chile
PZ,LATAM Paraguay,Paraguay
LU,LATAM Express,Chile
LP,LATAM Peru,Peru
NI,LANICA,Nicaragua
L5,Línea Aérea Cuencana,Ecuador
LO,LOT Polish Airlines,Poland
XO,LTE International Airways,Spain
L3,LTU Austria,Austria
LT,LTU International,Germany
N6,Lagun Air,Spain
IK,Lankair,Sri Lanka
QL,Lankan Cargo,Sri Lanka
QV,Lao Airlines,Lao People's Democratic Republic
L7,Laoag International Airlines,Philippines
NG,Lauda Air,Austria
OE[31],LaudaMotion,Austria
LQ,Lebanese Air Transport,Lebanon
LI,Leeward Islands Air Transport,Antigua and Barbuda
LV,Level,Spain and France
LN,Libyan Arab Airlines,Libya
L7,Línea Aérea SAPSA,Chile
QL,Línea Aérea de Servicio Ejecutivo Regional,Venezuela
ZE,Líneas Aéreas Azteca,Mexico
